"","Number","X.","Position.F1","Position.F2","Position.F3","Assign.F1","Assign.F2","Assign.F3","Height","Volume","Line.Width.F1..Hz.","Line.Width.F2..Hz.","Line.Width.F3..Hz.","Merit","Details","Fit.Method","Vol..Method"
"168",168,169,55.60771,54.85678,164.30488,NA,NA,NA,2.33e+09,5.04e+10,100.19443,147.32313,121.48301,1,"None","parabolic","box sum"
"170",170,171,50.42742,52.77063,164.26026,NA,NA,NA,2.39e+09,4.83e+10,80.65681,153.01836,91.41937,1,"None","parabolic","box sum"
"171",171,172,121.52157,52.3241,164.44845,NA,NA,NA,2.5e+09,5.23e+10,103.85621,127.81084,114.01435,1,"None","parabolic","box sum"
"177",177,178,111.72287,41.55539,164.29782,NA,NA,NA,2.71e+09,6.01e+10,118.9931,178.57009,115.30488,1,"None","parabolic","box sum"
"179",179,180,32.40345,40.56286,164.23404,NA,NA,NA,3.06e+09,7.29e+10,118.89417,177.01423,211.03658,1,"None","parabolic","box sum"
"180",180,181,169.25806,40.25932,164.50995,NA,NA,NA,2.42e+09,5.58e+10,123.04481,188.96294,133.41901,1,"None","parabolic","box sum"
"195",195,196,62.47617,62.50274,163.96252,NA,NA,NA,2.52e+09,5.68e+10,118.26881,150.20183,138.712,1,"None","parabolic","box sum"
"196",196,197,67.99582,62.01574,164.03734,NA,NA,NA,2.26e+09,5.4e+10,189.66491,195.41648,173.29129,1,"None","parabolic","box sum"
"198",198,199,24.32525,59.52237,163.96583,NA,NA,NA,2.39e+09,5.21e+10,114.47512,179.93903,108.85757,1,"None","parabolic","box sum"
"199",199,200,101.90327,58.50692,164.22647,NA,NA,NA,2.99e+09,7.16e+10,129.52895,178.38004,179.55515,1,"None","parabolic","box sum"
"200",200,201,66.29412,58.36228,164.1277,NA,NA,NA,2.61e+09,5.53e+10,115.79668,134.88585,107.54614,1,"None","parabolic","box sum"
"203",203,204,42.50452,52.94467,163.94922,NA,NA,NA,2.77e+09,5.89e+10,79.44762,143.10241,277.39732,1,"None","parabolic","box sum"
"206",206,207,35.00895,51.72302,164.10975,NA,NA,NA,2.25e+09,5.13e+10,144.76112,155.31063,117.80563,1,"None","parabolic","box sum"
"207",207,208,16.09089,51.042,164.06115,NA,NA,NA,2.54e+09,5.65e+10,131.79711,130.4732,239.49211,1,"None","parabolic","box sum"
"212",212,213,100.65368,45.21819,163.90172,NA,NA,NA,2.64e+09,5.66e+10,147.35661,141.51567,112.32811,1,"None","parabolic","box sum"
"215",215,216,182.22342,41.99801,164.00219,NA,NA,NA,2.49e+09,5.32e+10,101.8015,162.81414,102.944,1,"None","parabolic","box sum"
"222",222,223,171.1098,66.6962,163.72151,NA,NA,NA,2.89e+09,6.53e+10,125.37709,150.20099,143.34026,1,"None","parabolic","box sum"
"224",224,225,135.42416,65.34131,163.65447,NA,NA,NA,2.68e+09,6.27e+10,137.96765,172.7571,250.82209,1,"None","parabolic","box sum"
